"id","source_type","source_id","target_type","target_id","link_type","confidence","description","created_at"
6855,"restriction",94493,"traffic_jam",44438,"caused_by",80,"roadworks matched jam(heavy) via street","2026-04-15 16:56:38.3335+00"
6856,"restriction",94493,"traffic_jam",41983,"caused_by",85,"roadworks matched jam(standstill) via street","2026-04-15 16:56:38.335347+00"
6857,"restriction",94493,"traffic_jam",40803,"caused_by",80,"roadworks matched jam(heavy) via street","2026-04-15 16:56:38.33698+00"
6858,"restriction",94493,"traffic_jam",39445,"caused_by",75,"roadworks matched jam(moderate) via street","2026-04-15 16:56:38.338709+00"
6859,"restriction",94493,"traffic_jam",38563,"caused_by",80,"roadworks matched jam(heavy) via street","2026-04-15 16:56:38.340193+00"
6860,"restriction",94493,"traffic_jam",37349,"caused_by",80,"roadworks matched jam(heavy) via street","2026-04-15 16:56:38.34187+00"
6861,"restriction",94493,"traffic_jam",36986,"caused_by",75,"roadworks matched jam(moderate) via street","2026-04-15 16:56:38.343351+00"
6862,"restriction",94493,"traffic_jam",35799,"caused_by",80,"roadworks matched jam(heavy) via street","2026-04-15 16:56:38.345113+00"
6863,"restriction",94493,"traffic_jam",34271,"caused_by",60,"roadworks matched jam(moderate) via spatial","2026-04-15 16:56:38.346721+00"
6864,"restriction",94493,"traffic_jam",33540,"caused_by",80,"roadworks matched jam(heavy) via street","2026-04-15 16:56:38.348347+00"
6865,"restriction",94493,"traffic_jam",31663,"caused_by",80,"roadworks matched jam(heavy) via street","2026-04-15 16:56:38.349907+00"
6866,"restriction",94493,"traffic_jam",31471,"caused_by",80,"roadworks matched jam(heavy) via street","2026-04-15 16:56:38.351654+00"
6867,"restriction",94493,"traffic_jam",31325,"caused_by",70,"roadworks matched jam(standstill) via spatial","2026-04-15 16:56:38.353251+00"
6868,"restriction",94493,"traffic_jam",31262,"caused_by",80,"roadworks matched jam(heavy) via street","2026-04-15 16:56:38.354919+00"
6869,"restriction",94493,"traffic_jam",30631,"caused_by",65,"roadworks matched jam(heavy) via spatial","2026-04-15 16:56:38.356526+00"
6870,"restriction",94493,"traffic_jam",29880,"caused_by",65,"roadworks matched jam(heavy) via spatial","2026-04-15 16:56:38.358685+00"
6871,"restriction",94493,"traffic_jam",29340,"caused_by",65,"roadworks matched jam(heavy) via spatial","2026-04-15 16:56:38.360714+00"
6872,"restriction",94493,"traffic_jam",29208,"caused_by",70,"roadworks matched jam(standstill) via spatial","2026-04-15 16:56:38.362807+00"
